cahier,piece,title,listed_author,fr_prose,fr_ratio,en_prose,en_ratio,flags
s03-c02,vraiment-vrai,Vraiment vrai,charles-peguy,65,0.89,19,0.83,
s03-c02,les-universites-populaires,Les Universités Populaires,charles-guieysse,0,0.00,206,0.97,EMPTY_FR
s03-c03,de-l-eglise-et-de-l-etat-fragments,"De l'Église et de l'État, fragments",georges-sorel,1834,0.94,159,0.90,
s03-c04,de-la-raison,De la raison,charles-peguy,7713,0.93,679,0.92,
s03-c04,etudes-socialistes,Études Socialistes,jean-jaures,0,0.00,0,0.00,EMPTY_FR|EMPTY_EN
s03-c05,juifs,Juifs,georges-delahache,1689,0.93,169,0.88,
s03-c06,la-greve-trois-actes,"La Grève, trois actes",jean-hugues,1470,0.87,508,0.69,
s03-c07,m-gustave-tery,M. Gustave Téry,charles-peguy,1795,0.93,323,0.86,
s03-c08,les-juifs-en-roumanie,Les Juifs en Roumanie,bernard-lazare,2697,0.94,214,0.95,
s03-c09,une-lettre-inedite-a-romain-rolland,Une lettre inédite à Romain Rolland,leon-tolstoi,688,0.93,90,0.89,AUTHOR_MISMATCH(leon-tolstoi→romain-rolland)
s03-c10,les-universites-populaires-1900-1901-paris-et-banlieue,"Les Universités Populaires 1900-1901, Paris et banlieue",charles-guieysse,1332,0.93,218,0.73,
s03-c11,le-14-juillet-action-populaire-trois-actes,"Le 14 Juillet, action populaire, trois actes",romain-rolland,3787,0.85,1090,0.79,
s03-c12,monographies-personnalites,Monographies. Personnalités,charles-peguy,1765,0.94,125,0.82,
s03-c13,dingley-l-illustre-ecrivain,"Dingley, l'illustre écrivain",jerome-et-jean-tharaud,1496,0.94,326,0.83,
s03-c14,socialismes-nationaux,Socialismes nationaux,georges-sorel,1711,0.95,61,0.81,
s03-c15,cahiers-de-la-quinzaine,Cahiers de la Quinzaine,anatole-france,890,0.92,85,0.78,
s03-c16,les-elections,Les élections,charles-peguy,1746,0.94,32,0.84,
s03-c17,cahier-de-courriers,Cahier de courriers,felicien-challaye,1584,0.96,37,0.71,
s03-c18,personnalites-monographies,Personnalités. Monographies,charles-peguy,1679,0.92,65,0.68,
s03-c19,pour-l-armenie,Pour l'Arménie,pierre-quillard,3669,0.92,184,0.91,
s03-c20,les-universites-populaires-1900-1901-departements,"Les Universités Populaires 1900-1901, Départements",charles-guieysse,3786,0.94,102,0.76,
s03-c21,pour-la-finlande,Pour la Finlande,jean-deck,5332,0.94,148,0.88,
s04-c01,l-affaire-crainquebille-edition-complete,"L'affaire Crainquebille, édition complète",anatole-france,1249,0.89,225,0.80,
s04-c02,l-aube-fraternelle,L'aube fraternelle,emile-moselly,2036,0.93,109,0.90,
s04-c03,de-jean-coste,De Jean Coste,charles-peguy,1861,0.94,40,0.73,
s04-c04,la-medaille,La médaille,antonin-lavergne,2582,0.93,78,0.87,
s04-c05,textes-et-commentaires-emile-zola,Textes et commentaires. Emile Zola,charles-peguy,3207,0.93,39,0.72,
s04-c06,inventaire-des-cahiers,Inventaire des Cahiers,charles-peguy,1175,0.83,92,0.65,
s04-c07,villon-tolstoi-tharaud-gillet-cahier-de-noel,"Villon, Tolstoi, Tharaud, Gillet. Cahier de Noël",charles-peguy,1393,0.89,388,0.81,AUTHOR_MISMATCH(charles-peguy→leon-tolstoi)
s04-c08,monsieur-matou,Monsieur Matou,rene-salome,1608,0.92,288,0.95,
s04-c09,almanach-des-cahiers-pour-l-an-1903,Almanach des cahiers pour l'an 1903,charles-peguy,1227,0.89,65,0.81,
s04-c10,vie-des-hommes-illustres-beethoven,"Vie des hommes illustres, Beethoven",romain-rolland,2171,0.92,30,0.75,
s04-c11,la-politique-clericale-et-le-socialisme,La politique cléricale et le socialisme,edouard-berth,1482,0.95,24,0.71,
s04-c12,introduction-a-la-metaphysique,Introduction à la métaphysique,henri-bergson,2028,0.94,26,0.74,
s04-c13,impressions-sur-java,Impressions sur Java,felicien-challaye,1844,0.95,33,0.66,
s04-c14,le-temps-viendra-trois-actes,"Le temps viendra, trois actes",romain-rolland,2237,0.85,922,0.48,LOW_PROSE_EN
s04-c15,la-chanson-du-roi-dagobert,La chanson du roi Dagobert,pierre-baudouin,650,0.67,537,0.60,
s04-c16,les-vaincus-joseph-d-arimathee,Les Vaincus. Joseph d'Arimathée,gabriel-trarieux,1679,0.86,454,0.46,LOW_PROSE_EN
s04-c17,affaire-dreyfus-debats-parlementaires,Affaire Dreyfus. Débats parlementaires,charles-peguy,6088,0.90,1592,0.83,COM_PLACEHOLDER
s04-c18,affaire-dreyfus-cahiers-de-la-quinzaine,Affaire Dreyfus. Cahiers de la Quinzaine,charles-peguy,1883,0.93,28,0.82,
s04-c19,le-rhin-allemand,Le Rhin allemand,gaston-raphael,1871,0.91,53,0.75,
s04-c20,affaire-dreyfus-reprise-politique-parlementaire,Affaire Dreyfus. Reprise politique parlementaire,charles-peguy,3360,0.94,27,0.79,
s04-c21,edgar-quinet,Edgar Quinet,henry-michel,2137,0.92,32,0.86,
s04-c22,courriers-de-macedoine,Courriers de Macédoine,maurice-kahn,2690,0.91,53,0.80,
s05-c01,les-massacres-de-kichinef,Les massacres de Kichinef,henri-dagan,2767,0.92,57,0.69,
s05-c02,la-vie-d-evariste-galois,La vie d'Evariste Galois,paul-dupuy,2498,0.95,37,0.93,
s05-c03,le-monument-de-renan,Le monument de Renan,charles-peguy,2448,0.92,39,0.76,
s05-c04,le-theatre-du-peuple,Le Théâtre du Peuple,romain-rolland,5051,0.94,48,0.81,
s05-c05,discours-pour-la-liberte,Discours pour la liberté,georges-clemenceau,4038,0.92,86,0.88,
s05-c06,histoire-de-quatre-ans-1997-2001,"Histoire de quatre ans, 1997-2001",daniel-halevy,2858,0.92,390,0.86,
s05-c07,notes-sur-la-hollande,Notes sur la Hollande,henri-michel,3377,0.94,37,0.90,
s05-c07,moines-de-l-athos,Moines de l'Athos,jerome-et-jean-tharaud,0,0.00,6,0.75,EMPTY_FR
s05-c08,maximilien-robespierre,Maximilien Robespierre,karl-brunnemann,4546,0.94,59,0.77,
s05-c09,jean-christophe-i-l-aube,Jean-Christophe. I. L'aube,romain-rolland,3878,0.93,88,0.72,
s05-c10,jean-christophe,Jean-Christophe. II. Le matin,romain-rolland,3879,0.93,15,0.60,
s05-c11,le-monde-sans-dieu,Le monde sans Dieu,mangasarian,1472,0.91,61,0.69,COM_PLACEHOLDER
s05-c12,petites-garnisons,Petites garnisons,charles-peguy,749,0.89,33,0.70,COM_PLACEHOLDER
s05-c13,les-vaincus-hypathie,Les Vaincus. Hypathie,gabriel-trarieux,491,0.90,22,0.67,
