cahier,piece,title,listed_author,fr_prose,fr_ratio,en_prose,en_ratio,flags
s12-c07,tolstoi-vivant,Tolstoi vivant,andre-suares,3878,0.94,354,0.84,COM_PLACEHOLDER|AUTHOR_MISMATCH(andre-suares→leon-tolstoi)
s12-c08,mes-maitres-et-mes-amis,Mes maîtres et mes amis,paul-milliet,3305,0.92,536,0.82,COM_PLACEHOLDER
s12-c09,l-ordination,L'ordination,julien-benda,334,0.90,14,0.78,COM_PLACEHOLDER
s12-c10,les-milliet,Les Milliet,paul-milliet,1761,0.90,0,,COM_MISSING|NO_EN
s12-c10,adrien-de-tuce,Adrien de Tucé,adrien-de-tuce,0,,0,,COM_MISSING|NO_FR|NO_EN
s12-c10,cinq-ans-au-mexique,Cinq ans au Mexique,adrien-de-tuce,0,,0,,COM_MISSING|NO_FR|NO_EN
s12-c10,oeuvres-choisies-postface,Œuvres choisies (postface),charles-peguy,528,0.85,0,,COM_MISSING|NO_EN
s13-c01,voyage-d-etudes-en-italie,Voyage d'études en Italie,paul-milliet,2931,0.92,618,0.83,COM_PLACEHOLDER
s13-c02,a-new-theologian-m-fernand-laudet,"A New Theologian, M. Fernand Laudet",charles-peguy,0,,770,0.95,COM_MISSING|NO_FR
s13-c03,la-guerre-de-france,La guerre de France,ix,10,0.67,818,0.81,COM_PLACEHOLDER
s13-c04,le-porche-du-mystere-de-la-deuxieme-vertu,Le porche du mystère de la deuxième vertu,charles-peguy,2097,0.88,2,0.67,COM_PLACEHOLDER
s13-c05,jean-christophe-le-buisson-ardent-1,Jean-Christophe. Le buisson ardent. 1,romain-rolland,6704,0.94,111,0.86,
s13-c06,jean-christophe-le-buisson-ardent-2,Jean-Christophe. Le buisson ardent. 2,romain-rolland,2375,0.89,203,0.82,COM_PLACEHOLDER
s13-c07,the-milliets-x-the-commune-and-the-second-siege-of-paris,The Milliets. X. The Commune and the Second Siege of Paris,paul-milliet,0,,598,0.82,COM_MISSING|NO_FR
s13-c08,dostoievski,Dostoïevski,andre-suares,2249,0.93,298,0.87,COM_PLACEHOLDER
s13-c09,un-cas-de-conscience,Un cas de conscience,paul-milliet,2,0.50,598,0.76,COM_PLACEHOLDER
s13-c10,l-ami-desabuse,L'ami désabusé,joseph-melon,5182,0.88,2,0.67,COM_PLACEHOLDER
s13-c11,deux-drames,Mes cahiers rouges. VIII. Deux drames,maxime-vuillaume,3826,0.86,792,0.58,COM_PLACEHOLDER
s13-c12,le-mystere-des-saints-innocents,Le mystère des saints Innocents,charles-peguy,4189,0.77,0,,COM_MISSING|NO_EN
s14-c01,de-napoleon,De Napoléon,andre-suares,848,0.91,80,0.70,
s14-c02,jean-christophe-la-nouvelle-journee-1,Jean-Christophe. La nouvelle journée. 1,romain-rolland,3654,0.93,785,0.74,COM_PLACEHOLDER
s14-c03,jean-christophe-la-nouvelle-journee-2,Jean-Christophe. La nouvelle journée. 2,romain-rolland,58,0.66,2,1.00,
s14-c04,l-ordination,L'ordination,julien-benda,3835,0.92,130,0.88,
s14-c04,la-chute,La chute,julien-benda,0,0.00,0,0.00,EMPTY_FR|EMPTY_EN
s14-c05,la-tapisserie-de-sainte-genevieve-et-de-jeanne-d-arc,La tapisserie de sainte Geneviève et de Jeanne d'Arc,charles-peguy,1344,0.86,31,0.82,COM_PLACEHOLDER
s14-c06,l-argent,L'argent,charles-peguy,2479,0.93,77,0.86,
s14-c07,depuis-1880-l-enseignement-primaire,"Depuis 1880, l'enseignement primaire",naudy,3044,0.91,43,0.72,
s14-c08,les-chants-de-l-ame-reveillee,Les chants de l'âme réveillée,rene-salome,0,,0,,COM_MISSING|NO_FR|NO_EN
s14-c09,l-argent-suite,L'argent suite,charles-peguy,5703,0.93,30,0.75,
s14-c10,la-tapisserie-de-notre-dame,La tapisserie de Notre Dame,charles-peguy,1051,0.83,489,0.87,
s14-c11,mes-cahiers-rouges,Mes cahiers rouges. IX — Lettres et témoignages,maxime-vuillaume,747,0.54,0,,COM_MISSING|NO_EN
s15-c01,ecoute-israel,Ecoute Israël,edmond-fleg,1533,0.80,1281,0.83,
s15-c02,une-philosophie-pathetique,Une philosophie pathétique,julien-benda,2984,0.91,426,0.86,COM_PLACEHOLDER
s15-c03,la-loi-militaire,La loi militaire,joseph-reinach,1574,0.98,0,,COM_MISSING|NO_EN
s15-c04,eve,Eve,charles-peguy,7586,0.95,1,0.33,COM_PLACEHOLDER|LOW_PROSE_EN
s15-c05,francois-villon,François Villon,andre-suares,1619,0.91,201,0.57,COM_PLACEHOLDER
s15-c06,l-exode,L'Exode,georges-delahache,0,,334,0.88,COM_MISSING|NO_FR
s15-c07,notre-pays,Notre pays,rene-salome,1570,0.87,1,0.33,COM_PLACEHOLDER|LOW_PROSE_EN
s15-c08,note-sur-m-bergson-et-la-philosophie-bergsonienne,Note sur M. Bergson et la philosophie bergsonienne,charles-peguy,1686,0.90,123,0.99,COM_PLACEHOLDER
s15-c09,mes-cahiers-rouges-x-proscrits,Mes cahiers rouges. X. Proscrits,maxime-vuillaume,1870,0.84,1,0.33,COM_PLACEHOLDER|LOW_PROSE_EN
s15-c10,nous,Nous,francois-porche,0,,0,,COM_MISSING|NO_FR|NO_EN
